Task,Phase,Area,Priority,Effort,Status,Dependencies,Description
Create SiteHeader (marketing) component,Phase 1 - Foundation,Navigation,P0,M,Not started,Navigation model,"Sticky top header for public pages: logo, primary nav dropdowns (Product/Solutions/Industries/Resources/Pricing), theme & accessibility menu, Sign in + Get started CTAs."
Create SiteFooter component,Phase 1 - Foundation,Navigation,P0,M,Not started,Navigation model,"Global footer with columns (Product, Solutions, Industries, Resources, Company, Legal), newsletter CTA, social links, locale, copyright. Replaces hardcoded home footer."
Create (marketing) route group layout,Phase 1 - Foundation,Navigation,P0,M,Not started,SiteHeader; SiteFooter,"Add app/(marketing)/layout.tsx wrapping SiteHeader + SiteFooter. URLs unchanged via route group."
Create (app) route group layout,Phase 1 - Foundation,Navigation,P0,S,Not started,,"Add app/(app)/layout.tsx wrapping AppShell for product routes. Consolidates the per-section AppShell layouts."
Migrate marketing/content/legal routes into (marketing) group,Phase 1 - Foundation,Navigation,P0,M,Not started,(marketing) layout,"Move home, solutions/*, industries/*, about, contact, faq, knowledge, studio, pricing, privacy, terms, imprint under (marketing). Eliminates the ~17 dead-end pages with no chrome."
Migrate product routes into (app) group,Phase 1 - Foundation,Navigation,P1,M,Not started,(app) layout,"Move bots, workspace, marketplace, control-center, scenarios, workflows, categories under (app) with shared AppShell."
Refactor home onto marketing shell,Phase 1 - Foundation,Navigation,P0,M,Not started,(marketing) layout,"Remove bespoke home Header; reuse SiteHeader. Convert 5 section anchors into a scrollspy sub-nav."
Align AppShell topbar with SiteHeader,Phase 1 - Foundation,Navigation,P2,S,Not started,SiteHeader,"Unify styling (logo, theme menu, CTAs) between marketing header and app topbar for visual consistency."
Build mobile nav drawer,Phase 1 - Foundation,Navigation,P1,M,Not started,Navigation model,"Slimmed responsive drawer reusing FullscreenMenu content for the marketing shell on small screens."
Create typed navigation source of truth,Phase 1 - Foundation,Information Architecture,P0,M,Not started,,"New lib/content/navigation.ts consumed by header, footer, mobile menu, and sitemap. Replaces sprawling 8-group/46-link site.ts."
Merge Shop into Marketplace + redirect,Phase 1 - Foundation,Information Architecture,P1,S,Not started,Navigation model,"Collapse /shop and /marketplace into one catalog. Add 301 redirect /shop -> /marketplace."
Demote Categories & Scenarios to facets,Phase 1 - Foundation,Information Architecture,P1,M,Not started,Navigation model,"Treat categories and scenarios as filtered views of bots rather than top-level nav destinations."
Define top-level nav model,Phase 1 - Foundation,Information Architecture,P0,S,Not started,Navigation model,"Product / Solutions / Industries / Resources / Pricing / Company top level; Legal in footer. Removes redundant overlapping entry points."
Add redirects in next.config.mjs,Phase 1 - Foundation,Information Architecture,P1,S,Not started,Merge Shop into Marketplace,"Configure redirects for retired/duplicate routes."
Add branded 404 (not-found.tsx),Phase 1 - Foundation,System Pages,P0,S,Not started,SiteHeader; SiteFooter,"app/not-found.tsx with brand styling, search, and navigation recovery links. Currently falls to unstyled Next default."
Add error & global-error boundaries,Phase 1 - Foundation,System Pages,P1,S,Not started,,"app/error.tsx and app/global-error.tsx with branded fallback and retry."
Add loading states & skeletons,Phase 1 - Foundation,System Pages,P1,M,Not started,,"app/loading.tsx plus per-section loading.tsx skeletons for app routes (bots, workspace, marketplace, etc.)."
Add sitemap.ts,Phase 1 - Foundation,SEO,P1,S,Not started,Navigation model,"Generate app/sitemap.ts from nav model + dynamic routes (bots, knowledge, workflows, scenarios, industries)."
Add robots.ts,Phase 1 - Foundation,SEO,P1,XS,Not started,,"app/robots.ts with sitemap reference and crawl rules."
Add default Open Graph image,Phase 1 - Foundation,SEO,P2,S,Not started,,"app/opengraph-image.tsx default OG card for social sharing."
Add breadcrumbs to marketing pages,Phase 1 - Foundation,Navigation,P2,S,Not started,(marketing) layout,"Currently breadcrumbs only exist on app pages; add to marketing pages for orientation."
Fix Studio page to demonstrate,Phase 1 - Foundation,Content,P2,S,Not started,,"Embed real AiDemoPanel on /studio and remove misleading LIVE DEMO badge that links away to home."
Add login route placeholder,Phase 1 - Foundation,SaaS Scaffolding,P1,S,Not started,SiteHeader,"app/(auth)/login UI-only placeholder wired to Sign in CTA. No backend this phase."
Add signup route placeholder,Phase 1 - Foundation,SaaS Scaffolding,P1,S,Not started,SiteHeader,"app/(auth)/signup UI-only placeholder wired to Get started CTA. No backend this phase."
Add pricing page,Phase 1 - Foundation,SaaS Scaffolding,P1,M,Not started,Navigation model,"app/pricing/page.tsx with tier structure (placeholder tiers + contact CTA). Referenced by nav."
Add account stub,Phase 1 - Foundation,SaaS Scaffolding,P2,S,Not started,Add login route placeholder,"app/account/page.tsx protected-route placeholder for future authed product."
Add z-index token scale,Phase 1 - Foundation,Design System,P1,S,Not started,,"Introduce z-index tokens and apply to header/menu/overlays/cursor; fixes hardcoded 9999/9998/etc stacking risk."
Delete dead PageShell.tsx,Phase 1 - Foundation,Design System,P3,XS,Not started,,"Remove unused components/layout/PageShell.tsx."
Extract ContentPage + SectionHeader primitives,Phase 1 - Foundation,Design System,P2,M,Not started,,"Replace repeated 40-53 inline style blocks on detail/marketing pages with shared layout primitives for consistency."
Verify: typecheck, build, route walkthrough,Phase 1 - Foundation,QA,P0,S,Not started,All Phase 1 tasks,"Run pnpm typecheck + pnpm build; walk key routes to confirm header/footer present everywhere and no broken links/redirects."
EPIC: Auth + backend persistence,Phase 2 - Product Depth,SaaS Backend,P1,XL,Backlog,Phase 1,"Real authentication, Workspace backend persistence with export/import + versioning."
EPIC: Marketplace commerce,Phase 2 - Product Depth,SaaS Backend,P1,L,Backlog,Phase 1,"Pagination, sorting, pricing tiers, and functional purchase/cart flow."
EPIC: Unified global search,Phase 2 - Product Depth,Feature,P1,L,Backlog,Phase 1,"Single search across bots, workflows, scenarios, knowledge; replace fragmented per-area search."
EPIC: Real Control Center telemetry,Phase 2 - Product Depth,Feature,P2,L,Backlog,Auth + backend persistence,"Replace synthetic sine-wave metrics with real usage telemetry."
EPIC: Complete accessibility modes,Phase 3 - Hardening,Design System,P2,L,Backlog,Phase 1,"Implement all 14 accessibility modes, font scaling, and contrast-safe focus ring (currently 5 of 14 implemented)."
EPIC: Tokenize motion layer,Phase 3 - Hardening,Design System,P3,M,Backlog,Phase 1,"Move hardcoded cursor/shader/scroll-reveal timings into motion tokens."
EPIC: Content hub (blog + case studies),Phase 3 - Hardening,Content,P2,L,Backlog,Phase 1,"Blog and case-studies hub for SEO and credibility; full per-route OG image set."
