Task ID,Task,Status,Phase,Epic,Workstream,Priority,Quarter,Sprint,Story Points,Estimate (h),% Complete,Team,Owner,Stakeholder,Start Date,Due Date,Dependencies,Risk,Business Impact,Success Metric / OKR,Components / Files,Labels,Acceptance Criteria,Description
PB-001,Create SiteHeader (marketing) component,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Navigation,P0,Q2 2026,Sprint 1,5,12,0,Frontend,,Eng Lead,2026-06-16,2026-06-20,PB-010,Medium,High,"100% of marketing routes render a persistent header","components/layout/SiteHeader.tsx","navigation,component,P0","Sticky header on all marketing routes; logo links home; dropdowns keyboard-accessible; theme + Sign in/Get started visible; axe passes","Sticky top header for public pages: logo, primary nav dropdowns (Product/Solutions/Industries/Resources/Pricing), theme & accessibility menu, Sign in + Get started CTAs"
PB-002,Create SiteFooter component,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Navigation,P0,Q2 2026,Sprint 1,3,8,0,Frontend,,Eng Lead,2026-06-16,2026-06-19,PB-010,Low,High,"Footer present on 100% of pages","components/layout/SiteFooter.tsx","navigation,component,P0","Footer on every page; columns from nav model; legal + social links valid; responsive at 360px","Global footer (Product, Solutions, Industries, Resources, Company, Legal) + newsletter CTA, social, locale, copyright; replaces hardcoded home footer"
PB-003,Create (marketing) route group layout,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Navigation,P0,Q2 2026,Sprint 1,3,6,0,Frontend,,Eng Lead,2026-06-18,2026-06-22,"PB-001,PB-002",Medium,High,"Single shared marketing layout; 0 URL changes","app/(marketing)/layout.tsx","navigation,architecture,P0","Header+Footer wrap all marketing routes; URLs unchanged; build passes","Add app/(marketing)/layout.tsx wrapping SiteHeader + SiteFooter via route group"
PB-004,Create (app) route group layout,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Navigation,P1,Q2 2026,Sprint 1,2,4,0,Frontend,,Eng Lead,2026-06-18,2026-06-22,,Low,Medium,"Per-section layouts reduced to one","app/(app)/layout.tsx","navigation,architecture","AppShell wraps all product routes via one group layout; per-section layouts removed","Add app/(app)/layout.tsx wrapping AppShell for product routes; consolidate per-section AppShell layouts"
PB-005,Migrate marketing/content/legal routes into (marketing) group,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Navigation,P0,Q2 2026,Sprint 1,5,10,0,Frontend,,Eng Lead,2026-06-22,2026-06-26,PB-003,High,Critical,"0 pages without navigation chrome","app/(marketing)/","navigation,migration,P0","All ~17 chrome-less pages now render header+footer; no broken imports; typecheck+build pass","Move home, solutions/*, industries/*, about, contact, faq, knowledge, studio, pricing, legal under (marketing); fixes the dead-end pages"
PB-006,Migrate product routes into (app) group,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Navigation,P1,Q2 2026,Sprint 1,3,8,0,Frontend,,Eng Lead,2026-06-22,2026-06-26,PB-004,Medium,High,"All product routes share one shell","app/(app)/","navigation,migration","bots, workspace, marketplace, control-center, scenarios, workflows, categories share AppShell; routes resolve unchanged","Move product routes under (app) with shared AppShell"
PB-007,Refactor home onto marketing shell,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Navigation,P0,Q2 2026,Sprint 1,3,6,0,Frontend,,Eng Lead,2026-06-24,2026-06-27,PB-003,Medium,High,"1 header system sitewide (was 3)","app/page.tsx,components/sections/","navigation,refactor,P0","Home uses SiteHeader/SiteFooter; bespoke Header removed; section anchors become scrollspy sub-nav","Remove bespoke home Header; reuse SiteHeader; convert 5 section anchors into a scrollspy sub-nav"
PB-008,Align AppShell topbar with SiteHeader,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Design System,P2,Q3 2026,Sprint 2,2,4,0,Design,,Design Lead,2026-06-30,2026-07-02,PB-001,Low,Medium,"Visual consistency score approved in QA","components/layout/AppShell.tsx","navigation,design","Topbar logo/theme/CTA styling matches SiteHeader; visual QA approved","Unify styling between marketing header and app topbar for visual consistency"
PB-009,Build mobile nav drawer,Not started,Phase 1 - Foundation,E1 - Navigation & Shell Unification,Navigation,P1,Q3 2026,Sprint 2,3,8,0,Frontend,,Eng Lead,2026-06-30,2026-07-03,PB-010,Medium,High,"Mobile nav usable 360-768px","components/layout/FullscreenMenu.tsx","navigation,mobile","Drawer opens/closes with focus trap; all groups reachable; ESC closes; works 360-768px","Slimmed responsive drawer reusing FullscreenMenu content for the marketing shell on small screens"
PB-010,Create typed navigation source of truth,Not started,Phase 1 - Foundation,E2 - Information Architecture,Information Architecture,P0,Q2 2026,Sprint 1,3,6,0,Frontend,,Product,2026-06-16,2026-06-18,,Medium,High,"1 nav model; 0 duplicated link lists","lib/content/navigation.ts","ia,architecture,P0","Single typed nav model; header/footer/mobile/sitemap all consume it; no duplicated link lists","New lib/content/navigation.ts consumed by header, footer, mobile menu, sitemap; replaces sprawling 8-group/46-link site.ts"
