Task ID,Task,Status,Phase,Workstream,Priority,Story Points,Estimate (h),Team,Sprint,Start Date,Due Date,Dependencies,Risk,Business Impact,Components / Files,Labels,Acceptance Criteria,Description
PB-001,Create SiteHeader (marketing) component,Not started,Phase 1 - Foundation,Navigation,P0,5,12,Frontend,Sprint 1,2026-06-16,2026-06-20,PB-010,Medium,High,components/layout/SiteHeader.tsx,"navigation;component;p0","Sticky header renders on all marketing routes; logo links home; dropdowns keyboard-accessible; theme + Sign in/Get started visible; passes axe a11y.","Sticky top header for public pages: logo, primary nav dropdowns (Product/Solutions/Industries/Resources/Pricing), theme & accessibility menu, Sign in + Get started CTAs."
PB-002,Create SiteFooter component,Not started,Phase 1 - Foundation,Navigation,P0,3,8,Frontend,Sprint 1,2026-06-16,2026-06-19,PB-010,Low,High,components/layout/SiteFooter.tsx,"navigation;component;p0","Footer present on every page; columns populated from nav model; legal + social links valid; responsive at 360px.","Global footer (Product, Solutions, Industries, Resources, Company, Legal) + newsletter CTA, social, locale, copyright. Replaces hardcoded home footer."
PB-003,Create (marketing) route group layout,Not started,Phase 1 - Foundation,Navigation,P0,3,6,Frontend,Sprint 1,2026-06-18,2026-06-22,PB-001;PB-002,Medium,High,app/(marketing)/layout.tsx,"navigation;architecture;p0","SiteHeader+SiteFooter wrap all marketing routes; URLs unchanged; build passes.","Add app/(marketing)/layout.tsx wrapping SiteHeader + SiteFooter via route group (no URL changes)."
PB-004,Create (app) route group layout,Not started,Phase 1 - Foundation,Navigation,P1,2,4,Frontend,Sprint 1,2026-06-18,2026-06-22,,Low,Medium,app/(app)/layout.tsx,"navigation;architecture","AppShell wraps all product routes via single group layout; per-section layouts removed.","Add app/(app)/layout.tsx wrapping AppShell for product routes; consolidate per-section AppShell layouts."
PB-005,Migrate marketing/content/legal routes into (marketing) group,Not started,Phase 1 - Foundation,Navigation,P0,5,10,Frontend,Sprint 1,2026-06-22,2026-06-26,PB-003,High,Critical,"app/(marketing)/**","navigation;migration;p0","All ~17 previously chrome-less pages now render header+footer; no broken imports; build + typecheck pass.","Move home, solutions/*, industries/*, about, contact, faq, knowledge, studio, pricing, legal under (marketing). Fixes the dead-end pages."
PB-006,Migrate product routes into (app) group,Not started,Phase 1 - Foundation,Navigation,P1,3,8,Frontend,Sprint 1,2026-06-22,2026-06-26,PB-004,Medium,High,"app/(app)/**","navigation;migration","bots, workspace, marketplace, control-center, scenarios, workflows, categories share AppShell; routes resolve unchanged.","Move product routes under (app) with shared AppShell."
PB-007,Refactor home onto marketing shell,Not started,Phase 1 - Foundation,Navigation,P0,3,6,Frontend,Sprint 1,2026-06-24,2026-06-27,PB-003,Medium,High,app/page.tsx;components/sections/*,"navigation;refactor;p0","Home uses SiteHeader/SiteFooter; bespoke Header removed; section anchors become scrollspy sub-nav.","Remove bespoke home Header; reuse SiteHeader. Convert 5 section anchors into a scrollspy sub-nav."
PB-008,Align AppShell topbar with SiteHeader,Not started,Phase 1 - Foundation,Navigation,P2,2,4,Design,Sprint 2,2026-06-30,2026-07-02,PB-001,Low,Medium,components/layout/AppShell.tsx,"navigation;design","Topbar logo/theme/CTA styling matches SiteHeader; visual QA approved.","Unify styling between marketing header and app topbar for visual consistency."
PB-009,Build mobile nav drawer,Not started,Phase 1 - Foundation,Navigation,P1,3,8,Frontend,Sprint 2,2026-06-30,2026-07-03,PB-010,Medium,High,components/layout/FullscreenMenu.tsx,"navigation;mobile","Drawer opens/closes with focus trap; all nav groups reachable; works at 360-768px; ESC closes.","Slimmed responsive drawer reusing FullscreenMenu content for the marketing shell on small screens."
PB-010,Create typed navigation source of truth,Not started,Phase 1 - Foundation,Information Architecture,P0,3,6,Frontend,Sprint 1,2026-06-16,2026-06-18,,Medium,High,lib/content/navigation.ts,"ia;architecture;p0","Single typed nav model exported; header, footer, mobile menu, sitemap all consume it; no duplicated link lists.","New lib/content/navigation.ts consumed by header, footer, mobile menu, sitemap. Replaces sprawling 8-group/46-link site.ts."
PB-011,Merge Shop into Marketplace + redirect,Not started,Phase 1 - Foundation,Information Architecture,P1,2,4,Frontend,Sprint 2,2026-06-30,2026-07-01,PB-010;PB-014,Low,Medium,app/marketplace;next.config.mjs,"ia;redirect","/shop 301-redirects to /marketplace; nav no longer lists Shop; no orphaned links.","Collapse /shop and /marketplace into one catalog with redirect."
PB-012,Demote Categories & Scenarios to facets,Not started,Phase 1 - Foundation,Information Architecture,P1,3,8,Frontend,Sprint 2,2026-07-02,2026-07-07,PB-010,Medium,Medium,app/categories;app/scenarios,"ia;refactor","Categories/Scenarios reachable as filters within bots; removed from top-level nav; deep links still resolve.","Treat categories and scenarios as filtered views of bots rather than top-level destinations."
